country,year,TOTAL,RA000,RA100,RA110,RA120,RA130,RA200,RA300,RA310,RA320,RA400,RA410,RA420,RA500_5160,CF,CF_R,CF_NR_OTH,C0000,G3000,O4000XBIO,FE,N9000,X9900,share_ra000,share_ra100,share_ra110,share_ra120,share_ra130,share_ra200,share_ra300,share_ra310,share_ra320,share_ra400,share_ra410,share_ra420,share_ra500_5160,share_cf,share_cf_r,share_cf_nr_oth,share_c0000,share_g3000,share_o4000xbio,share_fe,share_n9000,share_x9900
BG,2021,43565.601,9916.793,5094.409,4277.577,596.818,220.01399999999998,0.0,1434.188,1434.188,0.0,1487.118,0.0,1487.118,0.0,19863.875,2121.092,0.0,14788.926,2704.917,248.94,,15650.831,35.18,0.22762897268420557,0.11693650226471108,0.0981870306345596,0.013699294542040174,0.0050501770881113284,0.0,0.032920193158818126,0.032920193158818126,0.0,0.034135142540556246,0.0,0.034135142540556246,0.0,0.455953195733487,0.04868731180823145,0.0,0.3394633761623075,0.06208836646141987,0.00571414130152824,,0.3592474484628365,0.0008075178395909194
BG,2022,45824.131,9145.323,3795.2529999999997,3350.919,437.784,6.55,0.0,1499.034,1499.034,0.0,2031.589,0.0,2031.589,0.0,22855.627,1825.997,0.0,18875.083,1794.134,360.413,,15615.0,27.628,0.19957439018319845,0.08282214888046649,0.07312564203345176,0.009553569057316112,0.0001429377896986197,0.0,0.03271276437298942,0.03271276437298942,0.0,0.04433447957801971,0.0,0.04433447957801971,0.0,0.4987683672604724,0.03984793514142145,0.0,0.41190269380122013,0.03915260280658677,0.007865135511244065,,0.3407593261288468,0.0006029137792051092
BG,2023,36736.515,9547.848,3099.234,2678.567,420.66700000000003,0.0,0.0,1583.852,1583.852,0.0,3327.7599999999998,0.0,3327.7599999999998,0.0,13356.632,1537.002,0.0,9924.315,1719.779,175.536,,15342.942,26.095,0.25990075542005003,0.08436385432858833,0.07291293145253436,0.011450922876053976,0.0,0.0,0.043113833742803316,0.043113833742803316,0.0,0.0905845314940734,0.0,0.0905845314940734,0.0,0.3635791800065956,0.04183853585458501,0.0,0.2701485157206665,0.04681388531274673,0.0047782431185973955,,0.4176482717535945,0.0007103286743448583
BG,2024,35311.020000000004,10806.136,2898.679,2396.971,496.24,5.468,0.0,1377.084,1377.084,0.0,5124.181,0.0,5124.181,0.0,10921.806,1411.6599999999999,0.0,7391.992,1854.9679999999998,263.186,9510.146,14959.004,30.266,0.30602729686086666,0.0820899254680267,0.06788166980166531,0.014053403158560697,0.0001548525078006809,0.0,0.038998703520883846,0.038998703520883846,0.0,0.14511563245694967,0.0,0.14511563245694967,0.0,0.3093030447718587,0.03997788792280709,0.0,0.2093395206369003,0.05253226896306025,0.007453367249091076,0.2693251568490516,0.4236355675933462,0.0008571261889347856
CH,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH,2020,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH,2021,,,,,,,,,,,,,,,,,814.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH,2022,,,,,,,,,,,,,,,,,829.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH,2023,,,,,,,,,,,,,,,,,260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
